no,국가명,code,소속 연맹
1,아프가니스탄,AFG,AFC
2,알바니아,ALB,UEFA
3,알제리,ALG,CAF
4,아메리칸사모아,ASA,OFC
5,안도라,AND,UEFA
6,앙골라,ANG,CAF
7,앵귈라,AIA,CONCACAF
8,앤티가 바부다,ATG,CONCACAF
9,아르헨티나,ARG,CONMEBOL
10,아르메니아,ARM,UEFA
11,아루바,ARU,CONCACAF
12,오스트레일리아,AUS,AFC
13,오스트리아,AUT,UEFA
14,아제르바이잔,AZE,UEFA
15,바하마,BAH,CONCACAF
16,바레인,BHR,AFC
17,방글라데시,BAN,AFC
18,바베이도스,BRB,CONCACAF
19,벨라루스,BLR,UEFA
20,벨기에,BEL,UEFA
21,벨리즈,BLZ,CONCACAF
22,베냉,BEN,CAF
23,버뮤다,BER,CONCACAF
24,부탄,BHU,AFC
25,볼리비아,BOL,CONMEBOL
26,보스니아 헤르체고비나,BIH,UEFA
27,보츠와나,BOT,CAF
28,브라질,BRA,CONMEBOL
29,영국령 버진아일랜드,VGB,CONCACAF
30,브루나이,BRU,AFC
31,불가리아,BUL,UEFA
32,부르키나파소,BFA,CAF
33,부룬디,BDI,CAF
34,캄보디아,CAM,AFC
35,카메룬,CMR,CAF
36,캐나다,CAN,CONCACAF
37,카보베르데,CPV,CAF
38,케이맨 제도,CAY,CONCACAF
39,중앙아프리카 공화국,CTA,CAF
40,차드,CHA,CAF
41,칠레,CHI,CONMEBOL
42,중화인민공화국,CHN,AFC
43,중화 타이베이,TPE,AFC
44,콜롬비아,COL,CONMEBOL
45,코모로,COM,CAF
46,콩고 공화국,CGO,CAF
47,콩고 민주 공화국,COD,CAF
48,쿡 제도,COK,OFC
49,코스타리카,CRC,CONCACAF
50,코트디부아르,CIV,CAF
51,크로아티아,CRO,UEFA
52,쿠바,CUB,CONCACAF
53,퀴라소,CUW,CONCACAF
54,키프로스,CYP,UEFA
55,체코,CZE,UEFA
56,덴마크,DEN,UEFA
57,지부티,DJI,CAF
58,도미니카 연방,DMA,CONCACAF
59,도미니카 공화국,DOM,CONCACAF
60,에콰도르,ECU,CONMEBOL
61,이집트,EGY,CAF
62,엘살바도르,SLV,CONCACAF
63,잉글랜드,ENG,UEFA
64,적도 기니,EQG,CAF
65,에리트레아,ERI,CAF
66,에스토니아,EST,UEFA
67,에스와티니,SWZ,CAF
68,에티오피아,ETH,CAF
69,페로 제도,FRO,UEFA
70,피지,FIJ,OFC
71,핀란드,FIN,UEFA
72,프랑스,FRA,UEFA
73,가봉,GAB,CAF
74,감비아,GAM,CAF
75,조지아,GEO,UEFA
76,독일,GER,UEFA
77,가나,GHA,CAF
78,지브롤터,GIB,UEFA
79,그리스,GRE,UEFA
80,그레나다,GRN,CONCACAF
81,괌,GUM,OFC
82,과테말라,GUA,CONCACAF
83,기니,GUI,CAF
84,기니비사우,GNB,CAF
85,가이아나,GUY,CONCACAF
86,아이티,HAI,CONCACAF
87,온두라스,HON,CONCACAF
88,홍콩,HKG,AFC
89,헝가리,HUN,UEFA
90,아이슬란드,ISL,UEFA
91,인도,IND,AFC
92,인도네시아,IDN,AFC
93,이란,IRN,AFC
94,이라크,IRQ,AFC
95,이스라엘,ISR,UEFA
96,이탈리아,ITA,UEFA
97,자메이카,JAM,CONCACAF
98,일본,JPN,AFC
99,요르단,JOR,AFC
100,카자흐스탄,KAZ,UEFA
101,케냐,KEN,CAF
102,조선민주주의인민공화국,PRK,AFC
103,대한민국,KOR,AFC
104,코소보,KVX,UEFA
105,쿠웨이트,KUW,AFC
106,키르기스스탄,KGZ,AFC
107,라오스,LAO,AFC
108,라트비아,LVA,UEFA
109,레바논,LIB,AFC
110,레소토,LES,CAF
111,라이베리아,LBR,CAF
112,리비아,LBY,CAF
113,리히텐슈타인,LIE,UEFA
114,리투아니아,LIT,UEFA
115,룩셈부르크,LUX,UEFA
116,마카오,MAC,AFC
117,북마케도니아,MKD,UEFA
118,마다가스카르,MAD,CAF
119,말라위,MWI,CAF
120,말레이시아,MAS,AFC
121,몰디브,MDV,AFC
122,말리,MLI,CAF
123,몰타,MLT,UEFA
124,모리타니,MTN,CAF
125,모리셔스,MRI,CAF
126,멕시코,MEX,CONCACAF
127,몰도바,MDA,UEFA
128,몽골,MNG,AFC
129,몬테네그로,MNE,UEFA
130,몬트세랫,MSR,CONCACAF
131,모로코,MAR,CAF
132,모잠비크,MOZ,CAF
133,미얀마,MYA,AFC
134,나미비아,NAM,CAF
135,네팔,NEP,AFC
136,네덜란드,NED,UEFA
137,누벨칼레도니,NCL,OFC
138,뉴질랜드,NZL,OFC
139,니카라과,NCA,CONCACAF
140,니제르,NIG,CAF
141,나이지리아,NGA,CAF
142,북아일랜드,NIR,UEFA
143,노르웨이,NOR,UEFA
144,오만,OMA,AFC
145,파키스탄,PAK,AFC
146,팔레스타인,PLE,AFC
147,파나마,PAN,CONCACAF
148,파푸아뉴기니,PNG,OFC
149,파라과이,PAR,CONMEBOL
150,페루,PER,CONMEBOL
151,필리핀,PHI,AFC
152,폴란드,POL,UEFA
153,포르투갈,POR,UEFA
154,푸에르토리코,PUR,CONCACAF
155,카타르,QAT,AFC
156,아일랜드,IRL,UEFA
157,루마니아,ROU,UEFA
158,러시아,RUS,UEFA
159,르완다,RWA,CAF
160,세인트키츠 네비스,SKN,CONCACAF
161,세인트루시아,LCA,CONCACAF
162,세인트빈센트 그레나딘,VIN,CONCACAF
163,사모아,SAM,OFC
164,산마리노,SMR,UEFA
165,상투메 프린시페,STP,CAF
166,사우디아라비아,KSA,AFC
167,스코틀랜드,SCO,UEFA
168,세네갈,SEN,CAF
169,세르비아,SRB,UEFA
170,세이셸,SEY,CAF
171,시에라리온,SLE,CAF
172,싱가포르,SIN,AFC
173,슬로바키아,SVK,UEFA
174,슬로베니아,SVN,UEFA
175,솔로몬 제도,SOL,OFC
176,소말리아,SOM,CAF
177,남아프리카 공화국,RSA,CAF
178,스페인,ESP,UEFA
179,스리랑카,SRI,AFC
180,수단,SUD,CAF
181,남수단,SSD,CAF
182,수리남,SUR,CONCACAF
183,스웨덴,SWE,UEFA
184,스위스,SUI,UEFA
185,시리아,SYR,AFC
186,타히티,TAH,OFC
187,타지키스탄,TJK,AFC
188,탄자니아,TAN,CAF
189,태국,THA,AFC
190,동티모르,TLS,AFC
191,토고,TOG,CAF
192,통가,TGA,OFC
193,트리니다드 토바고,TRI,CONCACAF
194,튀니지,TUN,CAF
195,터키,TUR,UEFA
196,투르크메니스탄,TKM,AFC
197,터크스 케이커스 제도,TCA,CONCACAF
198,우간다,UGA,CAF
199,우크라이나,UKR,UEFA
200,아랍에미리트,UAE,AFC
201,미국,USA,CONCACAF
202,우루과이,URU,CONMEBOL
203,미국령 버진아일랜드,VIR,CONCACAF
204,우즈베키스탄,UZB,AFC
205,바누아투,VAN,OFC
206,베네수엘라,VEN,CONMEBOL
207,베트남,VIE,AFC
208,웨일스,WAL,UEFA
209,예멘,YEM,AFC
210,잠비아,ZAM,CAF
211,짐바브웨,ZIM,CAF
