,goodsname,goodsprice
0,삼양)NEW짜장불닭볶음면(대컵),1600
1,돌)망고컵198G,2700
2,돌)복숭아컵198G,2700
3,돌)파인애플컵198G,2700
4,허쉬)가나슈녹차파인트474ML,10900
5,허쉬)가나슈딸기파인트474ML,10900
6,허쉬)가나슈바나나파인트474ML,10900
7,허쉬)가나슈바닐라파인트474ML,10900
8,허쉬)가나슈초코파인트474ML,10900
9,하림)닭가슴살리얼바블랙페퍼80G,2000
10,하림)닭가슴살리얼바오리지널80G,2000
11,고품격)매콤갈매기살300G(냉동),9900
12,고품격)안창살구이300G(냉동),9900
13,고품격)언양식소불고기300G(냉동,9900
14,고품격)토시살구이300G(냉동),9900
15,고품격)허브항정살300G(냉동),9900
16,황태리1번지30G,4900
17,납딱한오다리25G,3800
18,대구노가리30G,3800
19,도톰한오징어25G,3800
20,서울)검은콩우유블랙300ML,1650
21,서울)딸기우유300ML,1650
22,서울)바나나우유300ML,1650
23,서울)초코우유300ML,1650
24,서울)커피우유300ML,1650
25,매일)어메이징오트언스위트190ML,1200
26,매일)어메이징오트오리지널190ML,1200
27,빙그레)더단백드링크초코250ML,2500
28,빙그레)더단백카라멜250ML,2500
29,유어스(P)공화춘짬뽕육즙만두,3700
30,광동)비타500캔240ML,1500
31,광동)비타500피지라임250ML,1500
32,롯데)더하다보리차500ML,2000
33,롯데)더하다옥수수수염차500ML,2000
34,롯데)솔의눈500ML,2000
35,삼립)매콤불고기부리또,2800
36,삼립)불고기치즈부리또,2800
37,삼립)슈퍼슈프림치즈부리또,2800
38,브레디크)딸기붓세,1500
39,브레디크)무화과호두휘낭시에,1300
40,브레디크)버터스콘,1500
41,브레디크)브라우니와플,1600
42,브레디크)이즈니버터휘낭시에,1300
43,브레디크)치즈맛붓세,1500
44,삼립)잼있는딸기쿠키,1000
45,삼립)잼있는사과쿠키,1000
46,삼립)오븐카카오파운드,1200
47,삼립)초코블랑,1200
48,삼립)방앗간찹쌀떡,1500
49,유어스(P)모찌롤(Kiri크림치즈),3500
50,유어스)모찌롤(맘모스),3500
51,유어스)모찌롤(초코),3200
52,유어스)모찌롤(티라미수),3500
53,유어스)모찌롤(플레인),3000
54,유어스)허쉬쿠앤크모찌롤,3500
55,당근꿀맛고구마말랭이60G(봉),3900
56,순수고구마(130G/진공포장),3000
57,흥선)초코콘바이츠96G,2500
58,레쓰비)카페타임아메리카노240ML,1200
59,레쓰비)카페타임헤이즐넛240ML,1200
60,롯데)칠성사이다복숭아500ML,2200
61,롯데)칠성사이다제로500ML,2200
62,롯데)칠성사이다캔355ML,1900
63,동원)양반현미밥130G,1600
64,동원)양반흑미밥130G,1600
65,켈)프로틴그래놀라바고소한맛35G,1800
66,켈)프로틴그래놀라바사과맛30G,1800
67,켈로그)베리앤넛에너지바1400,1400
68,켈로그)프로틴바30G,1400
69,켈로그)첵스초코오리지널,1200
70,켈로그)크런치넛에너지바1200,1200
71,이디야)돌체콜드브루300ML,2700
72,이디야)바닐라라떼300ML,2700
73,이디야)쇼콜라모카300ML,2700
74,이디야)카페라떼300ML,2700
75,이디야)토피넛시그니처라떼300ML,2700
76,리치)치즈킬바사후랑크90G,2000
77,리치)킬바사후랑크90G,2000
78,코코)뽀로로한입약과120G,2000
79,강철부대2)아이온블루워터500ML,1900
80,강철부대2)아이온워터500ML,1900
81,종근당)락토조이제로워터350ML,2000
82,오뚜기)라면볶이(대컵),1500
83,오뚜기)마요짜장볶이(대컵),1500
